,bill_id,bill_title_fr,bill_title_de,person_name,person_gender,canton_name,canton_abbrev,topic
705,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457918,La Suisse respecte-t-elle les critères d'adhésion à l'OCDE?,Respektiert die Schweiz die OECD-Aufnahmekriterien?,Vischer Daniel,m,Zürich,ZH,Wirtschaft
706,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457919,Carte d'assuré,Versichertenkarte,Bortoluzzi Toni,m,Zürich,ZH,Gesundheit
707,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457920,Promouvoir l'énergie solaire,Solarenergie fördern,Schelbert Louis,m,Luzern,LU,Energie
708,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457921,Action en responsabilité contre les anciens dirigeants d'UBS,Verantwortlichkeitsklage gegen frühere Organe der UBS,Leutenegger Oberholzer Susanne,f,Basel-Landschaft,BL,Finanzwesen
709,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457922,14 juin. Egalité des salaires. Droit pour les autorités d'ouvrir une action,14. Juni. Behördenklagerecht für die Lohngleichheit,Heim Bea,f,Solothurn,SO,Wirtschaft
710,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457923,"Utilisation d'un hélicoptère militaire pour surveiller un ""Harassenlauf""",Einsatz von Armee-Helikoptern zur Überwachung eines unbewilligten Harassenlaufes,Lachenmeier-Thüring Anita,f,Basel-Stadt,BS,Sicherheitspolitik
711,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457924,Suivi sur la pauvreté,Strategie zur Armutsbekämpfung,Marra Ada,f,Waadt,VD,Soziale Fragen
712,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457925,Pour la poursuite de l'affouragement avec des restes alimentaires,Weiterhin Verfütterung von Speiseresten,Scherer Marcel,m,Zug,ZG,Landwirtschaft
713,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457926,Cadres féminins,Frauen im Kader,Prelicz-Huber Katharina,f,Zürich,ZH,Staatspolitik
714,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457927,Raisons de l'octroi par adjudication des concessions de radio et de télévision régionales,Gründe für die Neuausschreibung der lokalen Radio- und Fernsehkonzessionen,Malama Peter,m,Basel-Stadt,BS,Medien und Kommunikation
